,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,padang,100,ID,1573941615,89,-0.92,100.36,64.69,4.0
1,bonnyville,90,CA,1573941615,92,54.27,-110.74,33.8,8.05
2,karratha,0,AU,1573941615,57,-20.74,116.85,82.22,10.51
3,kotido,81,UG,1573941615,44,3.01,34.12,76.33,8.39
4,hanyang,50,CN,1573941615,80,32.14,105.51,57.0,3.4
5,bonavista,79,CA,1573941615,59,48.65,-53.11,28.0,23.0
6,busselton,0,AU,1573941616,62,-33.64,115.35,60.01,4.03
7,kavieng,100,PG,1573941616,69,-2.57,150.8,84.33,5.01
8,jamestown,45,AU,1573941616,80,-33.21,138.6,46.0,7.47
9,rawson,100,AR,1573941616,33,-43.3,-65.11,68.94,14.5
10,saint-philippe,0,CA,1573941616,48,45.36,-73.48,21.99,3.36
11,tezu,40,IN,1573941617,64,27.93,96.16,66.2,2.1
12,caravelas,100,BR,1573941406,81,-17.73,-39.27,77.13,8.48
13,zhigansk,100,RU,1573941617,99,66.77,123.37,-7.53,6.67
14,takab,0,IR,1573941617,64,36.4,47.11,23.85,6.42
15,sibolga,100,ID,1573941618,97,1.74,98.78,69.66,2.75
16,tasiilaq,89,GL,1573941618,68,65.61,-37.64,26.6,6.93
17,rikitea,95,PF,1573941618,84,-23.12,-134.97,74.28,15.75
18,cabo san lucas,75,ES,1573941618,70,43.18,-5.8,53.01,11.41
19,dikson,0,RU,1573941618,88,73.51,80.55,-12.1,8.23
20,victoria,75,BN,1573941618,88,5.28,115.24,78.8,1.12
21,luanda,20,AO,1573941606,83,-8.83,13.24,78.8,8.05
22,san cristobal,18,ML,1573941619,19,13.3,-4.9,84.18,8.23
23,oranjemund,100,ZA,1573941619,82,-28.55,16.43,61.56,18.9
24,qaanaaq,100,GL,1573941619,90,77.48,-69.36,9.01,4.94
25,taltal,6,CL,1573941619,72,-25.41,-70.49,62.91,6.4
26,hermanus,52,ZA,1573941315,93,-34.42,19.24,59.0,15.17
27,kars,0,TR,1573941531,79,40.61,43.1,26.6,3.11
28,mys shmidta,100,RU,1573941620,93,62.06,48.62,27.34,3.89
29,lavrentiya,0,RU,1573941620,76,65.58,-170.99,24.37,17.9
30,cidreira,0,BR,1573941620,63,-30.17,-50.22,69.37,9.24
31,castro,90,CL,1573941620,87,-42.48,-73.76,53.6,16.11
32,meghri,59,AM,1573941621,81,38.9,46.25,32.81,0.07
33,alofi,46,NU,1573941478,65,-19.06,-169.92,80.6,8.05
34,saltabarranca,100,MX,1573941621,81,18.59,-95.53,72.0,10.0
35,new norfolk,99,LR,1573941621,93,6.65,-10.59,75.92,2.8
36,hobart,75,AU,1573941604,43,-42.88,147.33,51.01,3.36
37,kapaa,90,US,1573941622,94,22.08,-159.32,86.0,11.41
38,akureyri,40,IS,1573941622,64,65.68,-18.09,35.6,23.04
39,punta arenas,20,PH,1573941622,94,14.18,121.12,78.8,1.12
40,vaini,19,IN,1573941622,88,15.34,74.49,68.09,5.64
41,mahebourg,75,MU,1573941622,83,-20.41,57.7,75.99,12.75
42,airai,32,TL,1573941623,23,-8.93,125.41,69.35,4.63
43,waipawa,100,NZ,1573941623,58,-39.94,176.59,71.01,8.99
44,ribeira grande,75,PT,1573941623,93,41.76,-8.56,55.99,9.17
45,old road,90,GB,1573941624,93,52.35,-0.85,46.0,3.36
46,east london,9,UG,1573941624,73,3.43,31.7,71.47,1.52
47,dolores,100,UY,1573941624,56,-33.53,-58.22,78.01,1.99
48,carnarvon,0,ZA,1573941625,47,-30.97,22.13,67.28,17.22
49,esperance,0,AU,1573941625,63,-33.86,121.89,64.4,19.46
50,vila franca do campo,75,IT,1573941625,100,45.18,8.4,46.99,5.82
51,bambous virieux,75,MU,1573941625,83,-20.26,57.41,75.99,12.75
52,uyskoye,66,RU,1573941625,69,54.37,60.01,30.25,7.09
53,atuona,1,PF,1573941626,73,-9.8,-139.03,79.72,15.26
54,mataura,33,NZ,1573941626,58,-46.19,168.86,57.0,15.01
55,clyde river,51,NZ,1573941574,46,-45.19,169.32,57.0,7.0
56,avera,90,US,1573941626,100,33.19,-82.53,57.0,8.05
57,ilulissat,75,GL,1573941626,53,69.22,-51.1,21.2,26.4
58,tuktoyaktuk,75,CA,1573941626,76,69.44,-133.03,-5.8,10.29
59,north bend,100,NG,1573941627,88,4.97,7.66,77.49,6.51
60,bluff,0,AU,1573941627,60,-23.58,149.07,76.33,10.29
61,moindou,2,NC,1573941627,47,-21.69,165.68,78.8,8.05
62,port-gentil,75,GA,1573941627,94,-0.72,8.78,77.0,3.36
63,hovd,75,NO,1573941627,90,63.83,10.7,39.99,17.22
64,sorland,100,NO,1573941628,68,67.67,12.69,41.43,10.33
65,nosy varika,100,PL,1573941628,93,51.99,20.8,54.0,5.82
66,westport,1,US,1573941482,21,41.14,-73.36,39.99,10.29
67,houston,1,US,1573941212,24,29.76,-95.37,64.99,2.08
68,zheleznodorozhnyy,90,RU,1573941629,93,55.75,38.0,39.2,4.47
69,shingu,15,JP,1573941629,72,33.72,135.99,58.39,6.62
70,molokovo,100,RU,1573941629,95,58.16,36.77,36.66,7.43
71,pitimbu,20,BR,1573941629,74,-7.47,-34.81,80.6,5.82
72,guerrero negro,75,AR,1573941629,37,-24.19,-65.45,86.0,5.82
73,pevek,76,RU,1573941629,80,69.7,170.27,3.69,2.04
74,lagos,20,NG,1573941630,88,6.46,3.39,82.4,6.93
75,salalah,40,OM,1573941630,57,17.01,54.1,78.8,6.93
76,thompson,90,CA,1573941337,78,55.74,-97.86,17.6,5.82
77,hilo,90,US,1573941630,69,19.71,-155.08,82.4,10.29
78,port-cartier,20,CA,1573941631,53,50.03,-66.88,25.0,14.99
79,port elizabeth,57,CD,1573941631,67,-7.04,29.76,79.97,9.22
80,nouadhibou,19,MR,1573941631,78,20.93,-17.03,71.6,10.29
81,tura,63,RU,1573941561,95,64.27,100.22,-29.63,2.82
82,albany,20,US,1573941517,30,42.65,-73.75,30.0,6.93
83,puerto ayora,40,AR,1573941632,39,-51.62,-69.23,62.6,24.16
84,necochea,0,AR,1573941632,80,-38.55,-58.74,63.0,1.99
85,vabalninkas,100,LT,1573941632,92,55.98,24.75,45.91,13.24
86,mehamn,0,NO,1573941632,87,71.03,27.85,24.13,9.57
87,biskamzha,100,RU,1573941633,86,53.45,89.53,-6.5,1.05
88,yulara,0,AU,1573941602,19,-25.24,130.99,71.6,6.93
89,lorengau,100,PG,1573941633,76,-2.02,147.27,83.46,9.17
90,sudak,0,UA,1573941633,79,44.85,34.97,43.7,4.16
91,georgetown,40,GY,1573941572,70,6.8,-58.16,86.0,11.41
92,aklavik,20,CA,1573941633,76,68.22,-135.01,-9.4,6.93
93,lebu,40,ET,1573941634,54,8.96,38.73,59.0,4.7
94,chignahuapan,79,MX,1573941634,84,19.84,-98.03,54.68,5.1
95,tateyama,40,JP,1573941634,87,36.66,137.31,48.99,2.24
96,bredasdorp,78,ZA,1573941634,72,-34.53,20.04,60.8,2.24
97,kaitangata,67,NZ,1573941634,55,-46.28,169.85,60.01,5.01
98,cherskiy,74,RU,1573941635,100,68.75,161.3,-7.46,2.44
99,brae,85,GB,1573941635,75,60.4,-1.35,33.8,1.12
100,jaguarao,34,BR,1573941635,66,-32.57,-53.38,76.5,3.44
101,yellowknife,90,CA,1573941609,77,62.45,-114.38,5.0,3.36
102,iqaluit,90,CA,1573941635,72,63.75,-68.52,17.6,12.75
103,dickinson,90,US,1573941636,75,46.88,-102.79,45.0,20.8
104,lucea,40,JM,1573941636,74,18.44,-78.17,86.0,11.41
105,minsk,90,BY,1573941636,100,53.9,27.56,48.2,6.71
106,faanui,0,PF,1573941636,81,-16.48,-151.75,80.02,14.54
107,ushuaia,40,AR,1573941517,54,-54.81,-68.31,55.4,12.75
108,marsa matruh,90,FR,1573941636,87,42.82,2.16,45.0,3.36
109,broome,100,GB,1573941637,93,52.47,1.45,43.0,6.93
110,santa cruz,52,PH,1573941637,85,17.49,120.43,71.8,3.09
111,kemin,8,KG,1573941637,40,42.79,75.7,27.9,2.71
112,coahuayana,77,MX,1573941637,58,18.62,-100.35,84.94,2.15
113,sitka,2,US,1573941637,27,37.17,-99.65,71.01,5.01
114,cape town,20,CL,1573941637,41,-36.41,-71.9,75.2,10.29
115,flin flon,0,FR,1573941638,92,48.5,6.66,41.0,3.36
116,hermosillo,5,MX,1573941523,25,29.09,-110.96,90.0,7.0
117,valparaiso,1,US,1573941492,69,41.47,-87.06,41.0,5.82
118,grand gaube,0,FR,1573941638,93,48.39,5.49,32.0,2.24
119,provideniya,100,RU,1573941638,92,64.42,-173.23,18.7,12.97
120,margate,75,AU,1573941639,43,-43.03,147.26,51.01,3.36
121,haines junction,1,US,1573941639,53,44.91,-117.94,55.4,4.7
122,berlevag,25,NO,1573941639,73,70.86,29.09,33.71,11.18
123,kirkland lake,90,US,1573941340,87,47.69,-122.19,53.6,9.17
124,merritt island,75,CA,1573941640,76,50.11,-120.79,50.0,10.29
125,butaritari,100,KI,1573941640,85,3.07,172.79,80.13,18.39
126,torbay,40,CA,1573941640,63,47.66,-52.73,30.0,27.51
